Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
26,Mia Kirshner,1975-01-25,5′ 3″ (1.60 m),['Actress'],3 nominations,Not Another Teen Movie,"Toronto, Ontario, Canada"
27,Greta Gerwig,1983-08-04,5′ 9″ (1.75 m),"['Actress', 'Director', 'Writer']","68 wins , 196 nominations total",Lady Bird,"Sacramento, California, USA"
28,Abbie Cornish,1982-08-07,5′ 8″ (1.73 m),"['Actress', 'Producer']",14 wins,Bright Star,"Lochinvar, New South Wales, Australia"
29,Molly Gordon,1994-12-06,5′ 4″ (1.63 m),"['Actress', 'Producer', 'Writer']",1 win,Booksmart,"Los Angeles, California, USA"
30,Lauren Lapkus,1985-09-06,5′ 10″ (1.78 m),"['Actress', 'Writer', 'Music Department']","2 wins , 3 nominations total",The Wrong Missy,"Chicago, Illinois, USA"
31,Gabriel Macht,1972-01-22,6′ (1.83 m),"['Actor', 'Director', 'Producer']",1 win,The Good Shepherd,"The Bronx, New York City, New York, USA"
32,Jennifer Lawrence,1990-08-15,5′ 9″ (1.75 m),"['Actress', 'Producer', 'Writer']","120 wins , 192 nominations total",The Hunger Games,"Louisville, Kentucky, USA"
33,Brad Pitt,1963-12-18,5′ 11″ (1.80 m),"['Actor', 'Producer', 'Executive']","119 wins , 223 nominations total",Mr. &amp; Mrs. Smith,"Shawnee, Oklahoma, USA"
34,Liz Katz,1988-07-08,5′ (1.52 m),"['Actress', 'Director', 'Writer']",,Guest House,"Randolph, New Jersey, USA"
35,Emily Blunt,1983-02-23,5′ 7″ (1.70 m),"['Actress', 'Producer', 'Additional Crew']","22 wins , 111 nominations total",Edge of Tomorrow,"Roehampton, London, England, UK"
36,Poorna Jagannathan,1972-12-22,5′ 6½″ (1.69 m),['Actress'],1 win,The Night Of,"Tunis, Tunisia"
37,Angus Sampson,1979-02-12,6′ 3″ (1.91 m),"['Actor', 'Director', 'Writer']",7 nominations,The Lincoln Lawyer,Australia
38,Ridley Scott,1937-11-30,5′ 8½″ (1.74 m),"['Director', 'Producer', 'Production Designer']","51 wins , 101 nominations total",The Martian,"South Shields, County Durham, England, UK"
39,Adam Devine,1983-11-07,5′ 8″ (1.73 m),"['Actor', 'Producer', 'Writer']",3 wins,Pitch Perfect,"Waterloo, Iowa, USA"
40,Christina Chong,1983-09-18,5′ 4″ (1.63 m),"['Actress', 'Director', 'Writer']",63 m,Johnny English Reborn,"Enfield, North London, England, UK"
41,Manuel Garcia-Rulfo,1981-02-25,6′ 2½″ (1.89 m),"['Actor', 'Producer']",2 nominations,The Magnificent Seven,"Guadalajara, Jalisco, Mexico"
42,Jess Bush,1992-03-26,5′ 10″ (1.78 m),['Actress'],1 nomination,Star Trek: Strange New Worlds,"Brisbane, Queensland"
43,Rachel Brosnahan,1990-07-12,5′ 3″ (1.60 m),"['Actress', 'Producer', 'Executive']","14 wins , 30 nominations total",House of Cards,"Milwaukee, Wisconsin, USA"
44,Karen Gillan,1987-11-28,5′ 10¾″ (1.80 m),"['Actress', 'Director', 'Writer']",8 wins,Selfie,"Inverness, Scotland, UK"
45,Pierce Brosnan,1953-05-16,6′ 1¼″ (1.86 m),"['Actor', 'Producer', 'Executive']",21 wins,The World Is Not Enough,"Drogheda, County Louth, Ireland"
46,Neve Campbell,1973-10-03,5′ 7″ (1.70 m),"['Actress', 'Producer', 'Writer']",7 wins,Scream,"Guelph, Ontario, Canada"
47,Golshifteh Farahani,1983-07-10,5′ 6½″ (1.69 m),"['Actress', 'Composer', 'Camera and Electrical Department']",5 wins,Paterson,"Tehran, Iran"
48,Ryan Gosling,1980-11-12,6′ 0½″ (1.84 m),"['Actor', 'Director', 'Producer']","35 wins , 159 nominations total",Blue Valentine,"London, Ontario, Canada"
49,Tom Holland,1996-06-01,5′ 6½″ (1.69 m),"['Actor', 'Director', 'Producer']","25 wins , 35 nominations total",Spider-Man: Homecoming,"Kingston upon Thames, England, UK"
50,Wes Anderson,1969-05-01,6′ 1″ (1.85 m),"['Director', 'Producer', 'Writer']","79 wins , 201 nominations total",Fantastic Mr. Fox,"Houston, Texas, USA"
51,Karen Allen,1951-10-05,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Director']",12 wins,Raiders of the Lost Ark,"Carrollton, Illinois, USA"
52,Ebon Moss-Bachrach,1977-03-19,6′ 1″ (1.85 m),"['Actor', 'Soundtrack']","1 win , 6 nominations total",Girls,"New York, New York, USA"
53,Leonardo DiCaprio,1974-11-11,6′ (1.83 m),"['Actor', 'Producer', 'Writer']","102 wins , 262 nominations total",Inception,"Hollywood, Los Angeles, California, USA"
54,Mel Gibson,1956-01-03,5′ 9¾″ (1.77 m),"['Actor', 'Director', 'Producer']","44 wins , 43 nominations total",Braveheart,"Peekskill, New York, USA"
55,Hannah Waddingham,1974-07-28,5′ 10¾″ (1.80 m),"['Actress', 'Soundtrack', 'Producer']","12 wins , 16 nominations total",Ted Lasso,"London, England, UK"
56,Michelle Monaghan,1976-03-23,5′ 7″ (1.70 m),"['Actress', 'Producer']",3 wins,Gone Baby Gone,"Winthrop, Iowa, USA"
57,Sarah Rafferty,1972-12-06,5′ 9″ (1.75 m),"['Actress', 'Soundtrack', 'Producer']",75 m,Suits,"New Canaan, Connecticut, USA"
58,Emilia Clarke,1986-10-23,5′ 2″ (1.57 m),"['Actress', 'Soundtrack', 'Producer']","8 wins , 48 nominations total",Game of Thrones,"London, England, UK"
59,Jenna Ortega,2002-09-27,5′ 1″ (1.55 m),"['Actress', 'Soundtrack', 'Producer']","5 wins , 18 nominations total",Scream,"Coachella Valley, California, USA"
60,Josh Hartnett,1978-07-21,6′ 3″ (1.91 m),"['Actor', 'Producer']",3 wins,Lucky Number Slevin,"St. Paul, Minnesota, USA"
61,Tom Hanks,1956-07-09,6′ (1.83 m),"['Actor', 'Producer', 'Writer']","93 wins , 209 nominations total",Cast Away,"Concord, California, USA"
62,Alexandra Daddario,1986-03-16,5′ 8″ (1.73 m),"['Actress', 'Soundtrack', 'Producer']","2 wins , 8 nominations total",Baywatch,"New York City, New York, USA"
63,Joey King,1999-07-30,5′ 4″ (1.63 m),"['Actress', 'Soundtrack', 'Producer']","6 wins , 21 nominations total",The Act,"Los Angeles, California, USA"
64,Ana de Armas,1988-04-30,5′ 6¼″ (1.68 m),"['Actress', 'Producer']","11 wins , 34 nominations total",Blade Runner 2049,"Havana, Cuba"
65,Nicolas Cage,1964-01-07,6′ (1.83 m),"['Actor', 'Director', 'Producer']","61 wins , 106 nominations total",Face/Off,"Long Beach, California, USA"
66,Joaquin Phoenix,1974-10-28,5′ 8″ (1.73 m),"['Actor', 'Director', 'Producer']","70 wins , 187 nominations total",Walk the Line,"San Juan, Puerto Rico"
67,MyAnna Buring,1979-09-22,5′ 2″ (1.57 m),"['Actress', 'Writer']",1 win,Kill List,"Sundsvall, Västernorrlands län, Sweden"
68,Meghan Markle,1981-08-04,5′ 6″ (1.68 m),"['Actress', 'Producer', 'Writer']",1 win,Remember Me,"Los Angeles, California, USA"
69,Rick Hoffman,1970-06-12,5′ 9½″ (1.77 m),"['Actor', 'Additional Crew']",77 m,Suits,"New York City, New York, USA"
70,Esai Morales,1962-10-01,5′ 10″ (1.78 m),"['Actor', 'Director', 'Producer']",4 wins,La Bamba,"Brooklyn, New York, USA"
71,Michelle Rodriguez,1978-07-12,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Producer']",13 wins,Furious 7,"San Antonio, Texas, USA"
72,Amanda Peterson,1971-07-08,5′ 4″ (1.63 m),['Actress'],1 win,Can't Buy Me Love,"Greeley, Colorado, USA"
73,Sophia Lillis,2002-02-13,5′ (1.52 m),['Actress'],3 wins,It,"Brooklyn, New York City, New York, USA"
74,Rachael Taylor,1984-07-11,5′ 7¾″ (1.72 m),"['Actress', 'Producer', 'Writer']",2 nominations,Transformers,"Launceston, Tasmania, Australia"
75,Lee Pace,1979-03-25,6′ 5″ (1.96 m),"['Actor', 'Soundtrack']","5 wins , 20 nominations total",Guardians of the Galaxy,"Chickasha, Oklahoma, USA"
76,Miss Benny,1999-02-19,,"['Actress', 'Soundtrack']",,Glamorous,
77,Annie Murphy,1986-12-19,5′ 7″ (1.70 m),"['Actress', 'Soundtrack', 'Writer']","7 wins , 15 nominations total",Schitt's Creek,"Ottawa, Ontario, Canada"
78,Christopher McQuarrie,1968-10-25,,"['Director', 'Producer', 'Writer']","10 wins , 17 nominations total",The Usual Suspects,"Princeton, New Jersey, USA"
79,Emmanuelle Béart,1963-08-14,5′ 4¼″ (1.63 m),"['Actress', 'Soundtrack']",12 wins,8 Women,"Gassin, Var, France"
80,Ayo Edebiri,1995-10-03,,"['Actress', 'Producer', 'Writer']","3 wins , 13 nominations total",The Bear,"Boston, Massachusetts, USA"
81,Isabel May,2000-11-21,5′ 9″ (1.75 m),['Actress'],1 nomination,1883,"Santa Monica, California, USA"
82,Sofía Vergara,1972-07-10,5′ 7″ (1.70 m),"['Actress', 'Soundtrack', 'Producer']","11 wins , 46 nominations total",Hot Pursuit,"Barranquilla, Colombia"
83,Hailee Steinfeld,1996-12-11,5′ 8½″ (1.74 m),"['Actress', 'Composer', 'Producer']","26 wins , 61 nominations total",True Grit,"Tarzana, Los Angeles, California, USA"
84,Mira Sorvino,1967-09-28,5′ 9″ (1.75 m),"['Actress', 'Soundtrack', 'Producer']","18 wins , 22 nominations total",Mighty Aphrodite,"New York City, New York, USA"
85,Matt Damon,1970-10-08,5′ 10″ (1.78 m),"['Actor', 'Producer', 'Writer']","37 wins , 154 nominations total",Good Will Hunting,"Boston, Massachusetts, USA"
86,Robert Downey Jr.,1965-04-04,5′ 8″ (1.73 m),"['Actor', 'Producer', 'Writer']","43 wins , 122 nominations total",Iron Man,"Manhattan, New York City, New York, USA"
87,Sarah Snook,1987-12-01,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Producer']","14 wins , 29 nominations total",Predestination,"Adelaide, South Australia, Australia"
88,Anya Taylor-Joy,1996-04-16,5′ 8″ (1.73 m),"['Actress', 'Soundtrack']","18 wins , 44 nominations total",The Queen's Gambit,"Miami, Florida, USA"
89,Rose Byrne,1979-07-24,5′ 6¼″ (1.68 m),"['Actress', 'Soundtrack', 'Producer']","15 wins , 35 nominations total",Spy,"Balmain, Sydney, New South Wales, Australia"
90,Alexander Skarsgård,1976-08-25,6′ 4½″ (1.94 m),"['Actor', 'Director', 'Producer']","13 wins , 35 nominations total",The Legend of Tarzan,"Stockholm, Stockholms län, Sweden"
91,Adam Driver,1983-11-19,6′ 2½″ (1.89 m),"['Actor', 'Soundtrack', 'Producer']","62 wins , 134 nominations total",Star Wars: Episode VII - The Force Awakens,"San Diego, California, USA"
92,Kate Mara,1983-02-27,5′ 2″ (1.57 m),"['Actress', 'Soundtrack', 'Producer']","2 wins , 8 nominations total",Fantastic Four,"Bedford, New York, USA"
93,Timothy Olyphant,1968-05-20,6′ (1.83 m),"['Actor', 'Soundtrack', 'Producer']","4 wins , 38 nominations total",Justified,"Honolulu, Hawaii, USA"
94,Patrick J. Adams,1981-08-27,6′ (1.83 m),"['Actor', 'Director', 'Producer']",1 win,Suits,"Toronto, Ontario, Canada"
95,Lily-Rose Depp,1999-05-27,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Composer']",1 win,Tusk,"Neuilly-sur-Seine, Hauts-de-Seine, France"
96,Elizabeth Debicki,1990-08-24,6′ 2¾″ (1.90 m),"['Actress', 'Producer']","6 wins , 38 nominations total",The Great Gatsby,"Paris, France"
97,John Krasinski,1979-10-20,6′ 3″ (1.91 m),"['Actor', 'Director', 'Producer']","18 wins , 79 nominations total",Tom Clancy's Jack Ryan,"Newton, Massachusetts, USA"
98,Idris Elba,1972-09-06,6′ 2½″ (1.89 m),"['Actor', 'Producer', 'Writer']","30 wins , 102 nominations total",Beasts of No Nation,"Hackney, London, England, UK"
99,Chloë Grace Moretz,1997-02-10,5′ 4″ (1.63 m),"['Actress', 'Soundtrack', 'Producer']",28 wins,Kick-Ass,"Atlanta, Georgia, USA"
100,Juno Temple,1989-07-21,5′ 2″ (1.57 m),"['Actress', 'Soundtrack']","6 wins , 19 nominations total",Atonement,"London, England, UK"
